_id,GID,COD_CIRCUITO,TURNO_HORARIO,X,Y
5067,46241,G_DU_RM_CL_11       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",570263.1170678883,6146575.3865846945
5068,46254,G_DU_RM_CL_11       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",570683.8839243524,6146001.169374754
5069,46259,G_DU_RM_CL_11       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",570382.7218350968,6146259.624027785
5070,46307,G_DU_RM_CL_03       ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",572090.4200974447,6144793.153087974
5071,46310,G_DU_RM_CL_06       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",571949.9892900779,6147986.976781782
5072,46339,G_DU_RM_CL_09       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",568281.3258947232,6150395.015784697
5073,46339,G_DU_RM_CL_09       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",568281.3258947232,6150395.015784697
5074,41257,CH_DU_RM_CL_12      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",576603.9686882839,6138247.640998074
5075,42500,C_DU_RM_CL_14       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ",576408.2400927318,6140748.2051032735
5076,49976,CH_DU_RM_CL_12      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",576680.2692605702,6137739.63139025
5077,50017,G_DU_RM_CL_01       ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",572297.1608661705,6143533.025889474
5078,59762,CH_DU_RM_CL_11      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",578149.3868502218,6138639.208143898
5079,37504,F_DU_RM_CL_06       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",580607.3452802023,6143215.221565679
5080,51724,G_DU_RM_CL_08       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",569389.8984674946,6148538.227784038
5081,54890,G_DU_RM_CL_16       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",573421.8636801544,6146299.506133657
5082,55492,D_DU_RM_CL_05       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,577632.8367099648,6140582.54305769
5083,39236,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,576296.228867513,6143999.675888795
5084,41618,G_DU_RM_CL_07       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",571094.2018889294,6147808.38519855
5085,43099,CH_DU_RM_CL_08      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",577883.0093293958,6137448.730847875
